REF	ETUD	LOCA	REG	DPT	COM	INSEE	TICO	ADRS	STAT	AFFE	PPRO	DPRO	AUTR	SCLE	
PA00079251	recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Terre-Natale	Champagne-Ardenne	52	Terre-Natale	52504	Mairie de Varennes-sur-Amance		propriété de la commune		Porte Renaissance : inscription par arrêté du 23 décembre 1925	1925/12/23 : inscrit MH		16e siècle	
PA00079250	recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Terre-Natale	Champagne-Ardenne	52	Terre-Natale	52504	Eglise		propriété de la commune		Eglise : inscription par arrêté du 23 décembre 1925	1925/12/23 : inscrit MH		4e quart 13e siècle	
PA00079249	recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Terre-Natale	Champagne-Ardenne	52	Terre-Natale	52504	Croix du 17e siècle sur la route de Coiffy		propriété de la commune		La croix : inscription par arrêté du 3 octobre 1929	1929/10/03 : inscrit MH		17e siècle	
PA00079248	recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Terre-Natale	Champagne-Ardenne	52	Terre-Natale	52504	Chapelle Saint-Gengoulph		propriété de la commune		Chapelle, à l'exclusion du clocheton (cad. AB 148) : inscription par arrêté du 29 février 1972	1972/02/29 : inscrit MH			
PA00079247	Recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Suzannecourt	Champagne-Ardenne	52	Suzannecourt	52484	Eglise		Propriété de la commune		Porche : inscription par arrêté du 7 décembre 1925	1925/12/07 : inscrit MH			
PA00079246	recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Soulaucourt-sur-Mouzon	Champagne-Ardenne	52	Soulaucourt-sur-Mouzon	52482	Ancienne cité de la Mothe (également sur commune de Outremécourt)		propriété de la commune		Forteresse (ruines de l'ancienne cité de la Mothe) située sur le domaine communal de Soulaucourt-sur-Mouzon : classement par arrêté du 10 août 1923 - Ancienne cité située sur la commune de Outremécourt (cad. ZH 49) : classement par arrêté du 4 octobre 2001	1923/08/10 : classé MH ; 2001/10/04 : classé MH		16e siècle ; 17e siècle	
PA00079245	Recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Sommevoire	Champagne-Ardenne	52	Sommevoire	52479	Maison	Croix (rue de la)	Propriété d'une personne privée		Echauguette : inscription par arrêté du 19 juin 1939	1939/06/19 : inscrit MH		4e quart 16e siècle ; 1er quart 17e siècle	
PA00079244	Recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Sommevoire	Champagne-Ardenne	52	Sommevoire	52479	Eglise Saint-Pierre		Propriété de la commune		Eglise Saint-Pierre (cad. E 578) : inscription par arrêté du 27 octobre 1971	1971/10/27 : inscrit MH			
PA00079243	Recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Sommevoire	Champagne-Ardenne	52	Sommevoire	52479	Eglise Notre-Dame		Propriété de la commune		Eglise Notre-Dame : classement par arrêté du 9 juillet 1909	1909/07/09 : classé MH		13e siècle	
PA00079242	Recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Sommerécourt	Champagne-Ardenne	52	Sommerécourt	52476	Pont gallo-romain (également sur commune de Outremecourt)		Propriété de la commune		Pont gallo-romain : classement par décret du 9 mars 1932	1932/03/09 : classé MH		Gallo-romain	
PA00079241	Recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Serqueux	Champagne-Ardenne	52	Serqueux	52470	Maison Joly-Catel		Propriété d'une personne privée		Emmarchement avec le banc de pierre et l'entrée dela cave avec son écoulement des eaux : inscription par arrêté du 12 octobre 1942	1942/10/12 : inscrit MH			
