REF	ETUD	LOCA	REG	DPT	COM	INSEE	TICO	ADRS	STAT	AFFE	PPRO	DPRO	AUTR	SCLE	
PA00078342	Recensement immeubles MH	Champagne-Ardenne ; Ardennes ; Beaumont-en-Argonne	Champagne-Ardenne	08	Beaumont-en-Argonne	08055	Maison à arcades	Place Principale	Propriété d'une personne privée		Façade et toiture (cad. AB 118) : inscription par arrêté du 28 février 1927	1927/02/28 : inscrit MH		15e siècle ; 18e siècle	
PA00078341	Recensement immeubles MH	Champagne-Ardenne ; Ardennes ; Bazeilles	Champagne-Ardenne	08	Bazeilles	08053	Château de Turenne (ancien) actuellement ferme		Propriété d'une personne privée		Porte fortifiée : inscription par arrêté du 18 août 1950	1950/08/18 : inscrit MH		16e siècle ; 17e siècle	
PA00078340	Recensement immeubles MH	Champagne-Ardenne ; Ardennes ; Bazeilles	Champagne-Ardenne	08	Bazeilles	08053	Château		Propriété d'une personne privée		Château, parc qui l'entoure et notamment la grille d'entrée du château, les deux pavillons, l'orangerie et les étangs qui s'y trouvent : classement par arrêté du 19 mars 1943	1943/03/19 : classé MH		18e siècle	
PA00078339	Recensement immeubles MH	Champagne-Ardenne ; Ardennes ; Balham	Champagne-Ardenne	08	Balham	08044	Cimetière		Propriété de la commune		Porche : inscription par arrêté du 19 juillet 1926	1926/07/19 : inscrit MH		15e siècle ; 16e siècle	
PA00078338	Recensement immeubles MH	Champagne-Ardenne ; Ardennes ; Avançon	Champagne-Ardenne	08	Avançon	08038	Eglise		Propriété de la commune		Eglise, à l'exception des parties classées : inscription par arrêté du 19 juillet 1926 ; Choeur et transept : classement par arrêté du 12 février 1942	1926/07/19 : inscrit MH ; 1942/02/12 : classé MH		13e siècle ; 17e siècle ; 19e siècle	
PA00078337	Recensement immeubles MH	Champagne-Ardenne ; Ardennes ; Autruche	Champagne-Ardenne	08	Autruche	08035	Eglise		Propriété de la commune		Eglise (cad. C 242) : inscription par arrêté du 25 mars 1980	1980/03/25 : inscrit MH		2e moitié 16e siècle	
PA00078336	Recensement immeubles MH	Champagne-Ardenne ; Ardennes ; Authe	Champagne-Ardenne	08	Authe	08033	Eglise		Propriété de la commune		Eglise : classement par arrêté du 2 mars 1920	1920/03/02 : classé MH		14e siècle	
PA00078335	Recensement immeubles MH	Champagne-Ardenne ; Ardennes ; Attigny	Champagne-Ardenne	08	Attigny	08025	Palais de Charlemagne ou Dome				Palais de Charlemagne ou Dome : classement par arrêté du 10 février 1922	1922/02/10 : classé MH		16e siècle ; 18e siècle	
PA00078334	Recensement immeubles MH	Champagne-Ardenne ; Ardennes ; Attigny	Champagne-Ardenne	08	Attigny	08025	Eglise		Propriété de la commune		Eglise : classement par arrêté du 19 novembre 1910	1910/11/19 : classé MH		11e siècle ; 15e siècle ; 16e siècle ; 18e siècle	
PA00078333	Recensement immeubles MH	Champagne-Ardenne ; Ardennes ; Asfeld	Champagne-Ardenne	08	Asfeld	08024	Eglise Saint-Didier		Propriété de la commune		Eglise : classement par arrêté du 3 mai 1913	1913/05/03 : classé MH		17e siècle	
PA00078332	Recensement immeubles MH	Champagne-Ardenne ; Ardennes ; Aouste	Champagne-Ardenne	08	Aouste	08016	Eglise		Propriété de la commune		Eglise : classement par arrêté du 5 septembre 1922	1922/09/05 : classé MH		15e siècle ; 17e siècle	
PA00078331	Recensement immeubles MH	Champagne-Ardenne ; Ardennes ; Antheny	Champagne-Ardenne	08	Antheny	08015	Croix	Dans le cimetière	Propriété de la commune		Croix (cad. C 577) : classement par arrêté du 28 juillet 1972	1972/07/28 : classé MH		18e siècle	
PA00078330	Recensement immeubles MH	Champagne-Ardenne ; Ardennes ; Amagne	Champagne-Ardenne	08	Amagne	08008	Eglise		Propriété de la commune		Eglise : classement par arrêté du 19 novembre 1910	1910/11/19 : classé MH		13e siècle	
PA00078329	recensement immeubles MH	Champagne-Ardenne ; Ardennes ; Alland'Huy-et-Sausseuil	Champagne-Ardenne	08	Alland'Huy-et-Sausseuil	08006	Eglise Sainte-Catherine		propriété de la commune		L'église en totalité (cad. C 192) : classement par arrêté du 27 août 1986	1986/08/27 : classé MH		12e siècle ; 16e siècle	
PA00078328	Recensement immeubles MH	Champagne-Ardenne ; Aube ; Villy-le-Maréchal	Champagne-Ardenne	10	Villy-le-Maréchal	10435	Eglise de la Nativité de la Vierge		Propriété de la commune		Eglise de la Nativité de la Vierge (cad. B 187) : inscription par arrêté du 4 juin 1992	1992/06/04 : inscrit MH		16e siècle	
PA00078327	Recensement immeubles MH	Champagne-Ardenne ; Aube ; Avreuil	Champagne-Ardenne	10	Avreuil	10024	Eglise Notre-Dame-de-l'Assomption		Propriété de la commune		Eglise Notre-Dame-de-l'Assomption (cad. B 525) : inscription par arrêté du 4 juin 1992	1992/06/04 : inscrit MH		16e siècle	
PA00078326	Recensement immeubles MH	Champagne-Ardenne ; Aube ; Yèvres-le-Petit	Champagne-Ardenne	10	Yèvres-le-Petit	10445	Eglise Saint-Laurent		Propriété de la commune		Eglise Saint-Laurent (cad. E 431) : inscription par arrêté du 15 juillet 1991	1991/07/15 : inscrit MH		16e siècle	
PA00078325	Recensement immeubles MH	Champagne-Ardenne ; Aube ; Ville-sur-Arce	Champagne-Ardenne	10	Ville-sur-Arce	10427	Eglise Saint-Aubin		Propriété de la commune		Eglise Saint-Aubin (cad. AC 234) : inscription par arrêté du 15 juillet 1991	1991/07/15 : inscrit MH		16e siècle	
PA00078324	Recensement immeubles MH	Champagne-Ardenne ; Aube ; La Saulsotte	Champagne-Ardenne	10	Saulsotte (La)	10367	Pigeonnier de Courtioux		Propriété d'une personne privée		Pigeonnier de Courtioux (cad. B 68) : inscription par arrêté du 19 novembre 1990	1990/11/19 : inscrit MH		15e siècle	
PA00078323	Recensement immeubles MH	Champagne-Ardenne ; Aube ; La Saulsotte	Champagne-Ardenne	10	Saulsotte (La)	10367	Eglise Saint-Ferréol		Propriété de la commune		Eglise Saint-Ferréol (cad. G 894) : inscription par arrêté du 21 août 1990	1990/08/21 : inscrit MH		13e siècle ; 16e siècle ; 18e siècle	
PA00078322	Recensement immeubles MH	Champagne-Ardenne ; Aube ; Pel-et-Der	Champagne-Ardenne	10	Pel-et-Der	10283	Eglise de l'Assomption		Propriété de la commune		Eglise de l'Assomption (cad. AB 146) : inscription par arrêté du 21 août 1990	1990/08/21 : inscrit MH		1ère moitié 16e siècle	
PA00078321	Recensement immeubles MH	Champagne-Ardenne ; Aube ; Estissac	Champagne-Ardenne	10	Estissac	10142	Halle		Propriété de la commune		Halle (cad. AE 197) : inscription par arrêté du 17 mai 1990	1990/05/17 : inscrit MH		4e quart 17e siècle	
PA00078320	Recensement immeubles MH	Champagne-Ardenne ; Aube ; Chennegy	Champagne-Ardenne	10	Chennegy	10096	Eglise Saint-Martin		Propriété de la commune		Eglise Saint-Martin (cad. AB 179) : inscription par arrêté du 21 août 1990	1990/08/21 : inscrit MH		16e siècle ; 17e siècle ; 18e siècle	
PA00078319	Recensement immeubles MH	Champagne-Ardenne ; Aube ; Vauchonvilliers	Champagne-Ardenne	10	Vauchonvilliers	10397	Eglise Saint-Pierre et Saint-Paul		Propriété de la commune		Eglise Saint-Pierre et Saint-Paul, avec son porche (cad. C 140) : inscription par arrêté du 21 novembre 1989	1989/11/21 : inscrit MH		12e siècle ; 16e siècle	
PA00078318	Recensement immeubles MH	Champagne-Ardenne ; Aube ; Puits-et-Nuisement	Champagne-Ardenne	10	Puits-et-Nuisement	10310	Eglise de Puits		Propriété de la commune		Eglise de Puits (cad. E 354) : inscription par arrêté du 9 mars 1990	1990/03/09 : inscrit MH		2e quart 16e siècle	
PA00078317	Recensement immeubles MH	Champagne-Ardenne ; Aube ; Bligny	Champagne-Ardenne	10	Bligny	10048	Eglise Saint-Symphorien		Propriété de la commune		Eglise Saint-Symphorien (cad. H 335) : inscription par arrêté du 21 novembre 1989	1989/11/21 : inscrit MH		4e quart 18e siècle	
PA00078316	Recensement immeubles MH	Champagne-Ardenne ; Aube ; Voué	Champagne-Ardenne	10	Voué	10442	Eglise		Propriété de la commune		Eglise : classement par arrêté du 4 septembre 1913	1913/09/04 : classé MH		16e siècle	
PA00078315	Recensement immeubles MH	Champagne-Ardenne ; Aube ; Villiers-Herbisse	Champagne-Ardenne	10	Villiers-Herbisse	10430	Eglise		Propriété de la commune		Eglise (cad. E 432) : classement par arrêté du 15 avril 1958	1958/04/15 : classé MH		12e siècle ; 16e siècle	
PA00078314	Recensement immeubles MH	Champagne-Ardenne ; Aube ; Ville-sur-Terre	Champagne-Ardenne	10	Ville-sur-Terre	10428	Eglise		Propriété de la commune		Eglise : inscription par arrêté du 6 juillet 1925	1925/07/06 : inscrit MH		1er quart 16e siècle ; 4e quart 16e siècle	
PA00078313	recensement immeubles MH	Champagne-Ardenne ; Aube ; Ville-sous-la-Ferté	Champagne-Ardenne	10	Ville-sous-la-Ferté	10426	Ancienne abbaye de Clairvaux		propriété de l'Etat ; propriété du département	affecté au ministère chargé de la culture ; affecté au ministère chargé de la justice ; affecté à une association	Chapelle Sainte-Anne, ainsi que la grille attenante ; aile de l'ancien réfectoire (transformée en chapelle au 19e siècle) avec la cuisine ; aile du lavoir ; grange ; cellier ; mur d'enceinte (cad. A 67 à 70, 72 à 76, 78) : classement par arrêté du 26 octobre 1981 - Ancienne hôtellerie-taverne, appelée aujourd'hui Hôtellerie des Dames, y compris sa cave située au nord sous le bâtiment voisin (cad. A 68) : inscription par arrêté du 26 janvier 1994 - Edifices désignés ci-après et figurant au plan annexé à l'arrêté : façades et toitures de l'ancienne boucherie (n° 3) , du bâtiment situé en face de la grange (n° 29) ; ancienne écurie de l'abbé transformée en bâtiment des enfants au 19e siècle (n° 23) : façades, toitures, voûtes et piliers au rez-de-chaussée, chapelle 19e siècle ; totalité du pavillon d'entrée ouest (n° 1) , du pont 18e siècle de l'entrée sud (n° 12) , des deux statues d'enfants placées près de l'ancien pavillon de chimie, du quartier d'isolement avec ses courettes et leurs murs  (n° 33) , du terrain délimité par l'enceinte du grand et du petit Clairvaux (cad. A 67 à 76, 78 ; pont 18e siècle non cadastré à la rencontre des R.D. 101 de Meurville à Clairvaux et 12 de Vendeuvre-sur-Barse à Maranville) : inscription par arrêté du 24 novembre 1997 - Bâtiments numérotés sur le plan annexé à l'arrêté : grand cloître (n° 31) et petit cloître (n° 32) ; bâtiments qui bordent la cour d'honneur : porterie (n° 18) , ancien logis de l'abbé (n° 19) , ancienne hôtellerie des Dames et logements des officiers (n° 17) , ailes nord et sud des anciennes écuries (n° 24 et 25) ; pavillon de chimie (n° 15) ; glacière (n° 16) ; bâtiment 18e siècle près de la chapelle Sainte-Anne (n° 14) ; bâtiment construit pour servir de bibliothèque (n° 20) ; bâtiment des hôtes (n° 21) et son aile en retour au sud (n° 22) ; pont d'accès au sud (n° 12) ; ancien auditoire (n° 4) ; fontaine et vivier (n° 5) ; lavoir à l'est du vivier (n° 6) ; ancienne prison des séculiers (n° 7) ; ancien atelier de serrurerie (n° 8) (cad. A 68, 71, 72, 74) : classement par arrêté du 26 mars 1999	1981/10/26 : classé MH ; 1994/01/26 : inscrit MH ; 1997/11/24 : inscrit MH ; 1999/03/26 : classé MH		2e moitié 12e siècle ; 16e siècle ; 18e siècle	
PA00078312	Recensement immeubles MH	Champagne-Ardenne ; Aube ; Villeret	Champagne-Ardenne	10	Villeret	10424	Eglise Saint-Ferréol		Propriété de la commune		Eglise : classement par arrêté du 11 avril 1931	1931/04/11 : classé MH		16e siècle	
PA00078311	Recensement immeubles MH	Champagne-Ardenne ; Aube ; La Villeneuve-au-Châtelot	Champagne-Ardenne	10	Villeneuve-au-Châtelot (La)	10421	Station de potiers gallo-romains		Propriété d'une personne privée		Station de potiers gallo-romains (cad. B 322 à 325) : classement par arrêté du 23 septembre 1937	1937/09/23 : classé MH		Gallo-romain	
PA00078310	Recensement immeubles MH	Champagne-Ardenne ; Aube ; La Villeneuve-au-Châtelot	Champagne-Ardenne	10	Villeneuve-au-Châtelot (La)	10421	Site archéologique		Propriété de la commune ; Propriété d'une personne privée		Site archéologique (cad. ZD 22 à 24) : inscription par arrêté du 6 avril 1982	1982/04/06 : inscrit MH		Age du fer ; Haut-Empire	
PA00078309	Recensement immeubles MH	Champagne-Ardenne ; Aube ; La Villeneuve-au-Châtelot	Champagne-Ardenne	10	Villeneuve-au-Châtelot (La)	10421	Eglise		Propriété de la commune		Eglise : inscription par arrêté du 7 mai 1926	1926/05/07 : inscrit MH		4e quart 12e siècle ; 13e siècle ; 4e quart 15e siècle	
PA00078308	Recensement immeubles MH	Champagne-Ardenne ; Aube ; Villenauxe-la-Grande	Champagne-Ardenne	10	Villenauxe-la-Grande	10420	Eglise Saint-Jacques-le-Majeur, à Dival		Propriété de la commune		Clocher : inscription par arrêté du 31 janvier 1927	1927/01/31 : inscrit MH		14e siècle	
PA00078307	recensement immeubles MH	Champagne-Ardenne ; Aube ; Villenauxe-la-Grande	Champagne-Ardenne	10	Villenauxe-la-Grande	10420	Eglise Saint-Pierre Saint-Paul		propriété de la commune		L'église : classement par liste de 1840	1840 : classé MH		13e siècle	
PA00078306	Recensement immeubles MH	Champagne-Ardenne ; Aube ; Villemorien	Champagne-Ardenne	10	Villemorien	10418	Château		Propriété d'une personne privée		Façades et toitures du château et de ses communs, y compris celles de l'ancien chenil (cad. D 58, 60, 430) : inscription par arrêté du 12 janvier 1987 ; Salon dit "Sanctuaire de la Folie" (cad. D 430) : classement par arrêté du 11 janvier 1990	1987/01/12 : inscrit MH ; 1990/01/11 : classé MH		1ère moitié 18e siècle ; 1er quart 19e siècle	
PA00078305	Recensement immeubles MH	Champagne-Ardenne ; Aube ; Villemereuil	Champagne-Ardenne	10	Villemereuil	10416	Château		Propriété d'une personne privée		Façades et toitures du corps de logis principal et des deux pavillons du château (cad. E 454) : inscription par arrêté du 25 octobre 1971	1971/10/25 : inscrit MH		16e siècle ; 17e siècle	
PA00078304	Recensement immeubles MH	Champagne-Ardenne ; Aube ; Villemereuil	Champagne-Ardenne	10	Villemereuil	10416	Calvaire dit "La Croix Blanche"	A l'intersection des C.D. 25 et 25bis	Propriété de la commune		Calvaire dit "La Croix Blanche" (cad. B 23) : classement par arrêté du 28 mars 1977	1977/03/28 : classé MH			
PA00078303	Recensement immeubles MH	Champagne-Ardenne ; Aube ; Villemaur-sur-Vanne	Champagne-Ardenne	10	Villemaur-sur-Vanne	10415	Pont enjambant la Vanne		Propriété de la commune		Pont (cad. NON CADASTRE) : inscription par arrêté du 6 décembre 1984	1984/12/06 : inscrit MH		17e siècle	
PA00078302	Recensement immeubles MH	Champagne-Ardenne ; Aube ; Villemaur-sur-Vanne	Champagne-Ardenne	10	Villemaur-sur-Vanne	10415	Eglise		Propriété de la commune		Eglise (cad. AD 303) : classement par arrêté du 4 juillet 1972	1972/07/04 : classé MH		13e siècle ; 16e siècle	
PA00078301	Recensement immeubles MH	Champagne-Ardenne ; Aube ; La Ville-aux-Bois	Champagne-Ardenne	10	Ville-aux-Bois (La)	10411	Eglise		Propriété de la commune		Eglise (cad. A 25) : classement par arrêté du 16 juillet 1984	1984/07/16 : classé MH		12e siècle	
PA00078300	Recensement immeubles MH	Champagne-Ardenne ; Aube ; Villacerf	Champagne-Ardenne	10	Villacerf	10409	Eglise Saint-Jean-Baptiste		Propriété de la commune		Eglise Saint-Jean-Baptiste (cad. C 794) : inscription par arrêté du 2 juin 1986	1986/06/02 : inscrit MH		12e siècle ; 16e siècle	
PA00078299	Recensement immeubles MH	Champagne-Ardenne ; Aube ; Verrières	Champagne-Ardenne	10	Verrières	10406	Eglise		Propriété de la commune		Clocher : inscription par arrêté du 12 juillet 1937 ; Eglise (à l'exception du clocher) : classement par arrêté du 15 septembre 1937	1937/07/12 : inscrit MH ; 1937/09/15 : classé MH		16e siècle	
PA00078298	Recensement immeubles MH	Champagne-Ardenne ; Aube ; Verrières	Champagne-Ardenne	10	Verrières	10406	Chapelle Saint-Aventin	Dans le cimetière	Propriété de la commune		Chapelle Saint-Aventin : inscription par arrêté du 7 mai 1926	1926/05/07 : inscrit MH		12e siècle ; 16e siècle	
PA00078297	Recensement immeubles MH	Champagne-Ardenne ; Aube ; Vendeuvre-sur-Barse	Champagne-Ardenne	10	Vendeuvre-sur-Barse	10401	Eglise		Propriété de la commune		Eglise : classement par arrêté du 6 juillet 1907	1907/07/06 : classé MH		16e siècle	
PA00078296	Recensement immeubles MH	Champagne-Ardenne ; Aube ; Vendeuvre-sur-Barse	Champagne-Ardenne	10	Vendeuvre-sur-Barse	10401	Château		Propriété du département ; Propriété d'une personne privée ; Propriété de la commune		Château (à l'exception des parties classées) (cad. Q 771) : inscription par arrêté du 5 septembre 1963 ; Façades et toitures ; grand escalier 18s avec décor de stuc ; éléments de décor suivants : au rez-de-chaussée : chambre n° 3 (lambris, cheminée, alcôve de bois du 18s) , salon n° 8 (lambris, cheminée 18s et parquet Versailles) , petite bibliothèque n° 7 (cheminée 18s et éléments de bibliothèque 19s) ; au 1er étage : cheminées et lambris des chambres n° 103, 109, 111, 114, 115, 116, 117 ; au deuxième étage : cheminée située au-dessus de la chambre n° 111 (cad. AD 546) : classement par arrêté du 10 avril 1981 ; Colombier et orangerie (cad. AE 22) : inscription par arrêté du 10 avril 1981	1963/09/05 : inscrit MH ; 1981/04/10 : classé MH ; 1981/04/10 : inscrit MH		11e siècle ; 15e siècle ; 17e siècle ; 18e siècle ; 19e siècle	
PA00078295	Recensement immeubles MH	Champagne-Ardenne ; Aube ; Vaudes	Champagne-Ardenne	10	Vaudes	10399	Croix de carrefour en pierre		Propriété de la commune		Croix de carrefour en pierre : inscription par arrêté du 6 mai 1939	1939/05/06 : inscrit MH		16e siècle	
PA00078294	Recensement immeubles MH	Champagne-Ardenne ; Aube ; Vauchassis	Champagne-Ardenne	10	Vauchassis	10396	Eglise de l'Assomption		Propriété de la commune		Eglise de l'Assomption (cad. AH 121) : inscription par arrêté du 22 août 1986	1986/08/22 : inscrit MH		3e quart 18e siècle	
PA00078293	Recensement immeubles MH	Champagne-Ardenne ; Aube ; Vanlay	Champagne-Ardenne	10	Vanlay	10395	Eglise		Propriété de la commune		Eglise (cad. C 364) : inscription par arrêté du 11 octobre 1984	1984/10/11 : inscrit MH		12e siècle ; 16e siècle	
PA00078292	Recensement immeubles MH	Champagne-Ardenne ; Aube ; Vanlay	Champagne-Ardenne	10	Vanlay	10395	Croix de cimetière		Propriété de la commune		Croix de cimetière en pierre : classement par arrêté du 30 novembre 1912	1912/11/30 : classé MH		16e siècle	
PA00078291	Recensement immeubles MH	Champagne-Ardenne ; Aube ; Vanlay	Champagne-Ardenne	10	Vanlay	10395	Château		Propriété d'une société privée		Château, son portail d'entrée et ses douves (cad. C 476, 478) : inscription par arrêté du 22 octobre 1969	1969/10/22 : inscrit MH		16e siècle ; 17e siècle	
PA00078290	Recensement immeubles MH	Champagne-Ardenne ; Aube ; Vallières	Champagne-Ardenne	10	Vallières	10394	Eglise		Propriété de la commune		Eglise : inscription par arrêté du 29 mai 1926	1926/05/29 : inscrit MH		16e siècle	
PA00078289	Recensement immeubles MH	Champagne-Ardenne ; Aube ; Vallentigny	Champagne-Ardenne	10	Vallentigny	10393	Eglise		Propriété de la commune		Choeur et transept : classement par arrêté du 29 septembre 1948 ; Nef : inscription par arrêté du 29 septembre 1948	1948/09/29 : classé MH ; 1948/09/29 : inscrit MH		12e siècle ; 16e siècle	
PA00078288	Recensement immeubles MH	Champagne-Ardenne ; Aube ; Vallentigny	Champagne-Ardenne	10	Vallentigny	10393	Croix	Dans le cimetière	Propriété de la commune		Colonne, et socle de la croix (à l'exception de la croix proprement dite) (cad. B 613bis) : inscription par arrêté du 29 mars 1972	1972/03/29 : inscrit MH		18e siècle	
PA00078287	Recensement immeubles MH	Champagne-Ardenne ; Aube ; Val-d'Orvin	Champagne-Ardenne	10	Val-d'Orvin	10054	Dolmen		Propriété d'une personne privée		Dolmen (cad. 580 (cadastre de Bercenay ; le ; Hayes) ) : classement par arrêté du 11 mai 1959	1959/05/11 : classé MH		Néolithique récent ; Chalcolithique	
PA00078286	Recensement immeubles MH	Champagne-Ardenne ; Aube ; Val-d'Auzon	Champagne-Ardenne	10	Val-d'Auzon	10019	Eglise		Propriété de la commune		Choeur et bas-côté Nord formant transept : inscription par arrêté du 7 mai 1926	1926/05/07 : inscrit MH		16e siècle	
PA00078285	Recensement immeubles MH	Champagne-Ardenne ; Aube ; Urville	Champagne-Ardenne	10	Urville	10390	Etablissement gallo-romain (vestiges)		Propriété d'une personne privée		Etablissement gallo-romain (vestiges) (cad. B 167 à 171) : inscription par arrêté du 3 novembre 1988	1988/11/03 : inscrit MH		Gallo-romain	
PA00078284	Recensement immeubles MH	Champagne-Ardenne ; Aube ; Unienville	Champagne-Ardenne	10	Unienville	10389	Tronçons de voies romaines de Langres à Remps et de Troyes à Naix				Tronçons de voies romaines : inscription par arrêté du 5 août 1982	1982/08/05 : inscrit MH		Gallo-romain	
PA00078283	Recensement immeubles MH	Champagne-Ardenne ; Aube ; Troyes	Champagne-Ardenne	10	Troyes	10387	Préfecture de l'Aube (Hôtel de Département)	Libération (place de la)	Propriété du département		Façades sur la cour d'honneur (façade principale et ailes en retour d'équerre) ; toitures du bâtiment 19S ; grille d'entrée en fer forgé (avec son fronton) ; deux lions du sculpteur Valtat (cad. CD 1) : inscription par arrêté du 1er décembre 1988	1988/12/01 : inscrit MH	BROUARD (maître de l'oeuvre)	2e moitié 19e siècle	
PA00078282	Recensement immeubles MH	Champagne-Ardenne ; Aube ; Troyes	Champagne-Ardenne	10	Troyes	10387	Monastère de la Visitation	Pierre-Brossolette (avenue) 75	Propriété d'une association		Façades et toitures de l'ensemble des bâtiments conventuels du 19s, de la Ferme du 18s ; la galerie du cloître, le sol du jardin, les parties subsistantes du mur de clôture ancien (cad. CH 280, 279) : inscription par arrêté du 4 mai 1984 ; Chapelle ; façades et toitures du bâtiment attenant du 17s (cad. CH 280) : classement par arrêté du 4 mai 1984	1984/05/04 : inscrit MH ; 1984/05/04 : classé MH		3e quart 17e siècle ; 4e quart 18e siècle ; 19e siècle	
PA00078281	Recensement immeubles MH	Champagne-Ardenne ; Aube ; Troyes	Champagne-Ardenne	10	Troyes	10387	Maison	Monnaie (rue de la) 34 ; anciennement rue Roger Salengro	Propriété d'une société privée		Façade sur rue et couverture : inscription par arrêté du 16 juin 1926	1926/06/16 : inscrit MH		4e quart 16e siècle	
PA00078280	Recensement immeubles MH	Champagne-Ardenne ; Aube ; Troyes	Champagne-Ardenne	10	Troyes	10387	Maison	Molé (rue) 8 ; Champeaux (rue)	Propriété d'une personne privée		Façades et toitures sur la rue Molé et la rue des Champeaux : inscription par arrêté du 8 septembre 1928	1928/09/08 : inscrit MH			
PA00078279	Recensement immeubles MH	Champagne-Ardenne ; Aube ; Troyes	Champagne-Ardenne	10	Troyes	10387	Maison	Molé (rue) 6 ; Champeaux (rue)	Propriété d'une personne privée		Façades et toitures sur la rue Molé et la rue des Champeaux : inscription par arrêté du 8 septembre 1928	1928/09/08 : inscrit MH			
PA00078278	Recensement immeubles MH	Champagne-Ardenne ; Aube ; Troyes	Champagne-Ardenne	10	Troyes	10387	Maison	Molé (rue) 4 ; Champeaux (rue)	Propriété d'une personne privée		Façades et toitures sur la rue Molé et la rue des Champeaux : inscription par arrêté du 8 septembre 1928	1928/09/08 : inscrit MH			
PA00078277	Recensement immeubles MH	Champagne-Ardenne ; Aube ; Troyes	Champagne-Ardenne	10	Troyes	10387	Maison	Molé (rue) 2 ; Champeaux (rue)	Propriété d'une personne privée		Façades et toitures sur la rue Molé et la rue des Champeaux : inscription par arrêté du 8 septembre 1928	1928/09/08 : inscrit MH			
PA00078276	Recensement immeubles MH	Champagne-Ardenne ; Aube ; Troyes	Champagne-Ardenne	10	Troyes	10387	Maison de l'Orfèvre	Champeaux (rue) 9 ; Molé (rue) 10	Propriété d'une personne privée		Façades et toitures (cad. F 473) : classement par arrêté du 10 février 1961	1961/02/10 : classé MH		4e quart 16e siècle	
PA00078275	Recensement immeubles MH	Champagne-Ardenne ; Aube ; Troyes	Champagne-Ardenne	10	Troyes	10387	Maison de l'Election	Monnaie (rue de la) 26	Propriété d'une personne privée		Façade sur rue : classement par arrêté du 27 janvier 1933	1933/01/27 : classé MH		16e siècle	
PA00078274	Recensement immeubles MH	Champagne-Ardenne ; Aube ; Troyes	Champagne-Ardenne	10	Troyes	10387	Maison du Boulanger	Champeaux (rue) ; Paillot-de-Montabert (rue)	Propriété de la commune		Façades et toitures (cad. F 286) : inscription par arrêté du 6 décembre 1958	1958/12/06 : inscrit MH		16e siècle	
PA00078273	Recensement immeubles MH	Champagne-Ardenne ; Aube ; Troyes	Champagne-Ardenne	10	Troyes	10387	Kiosque à musique	Lebocey J. (rue)	Propriété de la commune		Kiosque à musique : inscription par arrêté du 29 octobre 1975	1975/10/29 : inscrit MH	VERMOT (maître de l'oeuvre)	4e quart 19e siècle	
PA00078272	Recensement immeubles MH	Champagne-Ardenne ; Aube ; Troyes	Champagne-Ardenne	10	Troyes	10387	Hôtel de ville		Propriété de la commune		Façades et couvertures (à l'exclusion de la façade classée) : inscription par arrêté du 7 mai 1926 ; Cheminée monumentale : inscription par arrêté du 18 mars 1930 ; Façade : classement par arrêté du 19 janvier 1932	1926/05/07 : inscrit MH ; 1930/03/18 : inscrit MH ; 1932/01/19 : classé MH	COTTARD (maître de l'oeuvre)	17e siècle	
PA00078271	Recensement immeubles MH	Champagne-Ardenne ; Aube ; Troyes	Champagne-Ardenne	10	Troyes	10387	Hôtel de Vauluisant		Propriété de la commune		Bâtiment principal et les deux tourelles qui l'accompagnent : classement par arrêté du 21 décembre 1904	1904/12/21 : classé MH		16e siècle	
PA00078270	Recensement immeubles MH	Champagne-Ardenne ; Aube ; Troyes	Champagne-Ardenne	10	Troyes	10387	Hôtel des Ursins	Champeaux (rue) 26	Propriété de la commune		Façades et toitures : classement par arrêté du 11 août 1932	1932/08/11 : classé MH		2e quart 16e siècle	
PA00078269	Recensement immeubles MH	Champagne-Ardenne ; Aube ; Troyes	Champagne-Ardenne	10	Troyes	10387	Hôtel du Petit Louvre	Montée-Saint-Pierre (rue de la) 2 ; Boucherat (rue) ; Linard-Gonthier (rue) 1	Propriété de la commune		Hôtel du Petit Louvre (cad. AV 129) : inscription par arrêté du 10 septembre 1986	1986/09/10 : inscrit MH		16e siècle	
PA00078268	Recensement immeubles MH	Champagne-Ardenne ; Aube ; Troyes	Champagne-Ardenne	10	Troyes	10387	Hôtel de Mauroy		Propriété de la commune		Hôtel de Mauroy : classement par liste de 1862	1862 : classé MH		16e siècle	
PA00078267	Recensement immeubles MH	Champagne-Ardenne ; Aube ; Troyes	Champagne-Ardenne	10	Troyes	10387	Hôtel de Marisy		Propriété de la commune		Hôtel de Marisy : classement par liste de 1862	1862 : classé MH		2e quart 16e siècle ; 3e quart 19e siècle	
PA00078266	Recensement immeubles MH	Champagne-Ardenne ; Aube ; Troyes	Champagne-Ardenne	10	Troyes	10387	Hôtel-Dieu (ancien)	Cité (rue de la) 2 ; Comtes de Champagne (quai des)	Propriété de la commune		Grille : classement par arrêté du 23 avril 1885 ; Façades et toitures des bâtiments entourant la cour d'honneur avec les ailes en retour sur la rue de la Cité ; façades et toitures de la chapelle et de la pharmacie ; ensemble des sols (cad. G 516) : classement par arrêté du 23 novembre 1964	1885/04/23 : classé MH ; 1964/11/23 : classé MH	DELPHIN Pierre (maître de l'oeuvre)	18e siècle ; 3e quart 18e siècle	
